x,y,z,time
60.0,0.0,0.0,0.0
58.68885604402834,12.47470144906556,0.0,0.1
54.812727458556054,24.40419858454801,0.0,0.2
48.54101966249685,35.26711513754839,0.0,0.30000000000000004
40.14783638153149,44.58868952864365,0.0,0.4
30.000000000000007,51.96152422706631,0.0,0.5
18.541019662496847,57.06339097770921,0.0,0.6
6.271707796059207,59.6713137220964,0.0,0.7
-6.2717077960592,59.67131372209641,0.0,0.7999999999999999
-18.54101966249684,57.06339097770922,0.0,0.8999999999999999
-29.999999999999986,51.96152422706632,0.0,0.9999999999999999
-40.14783638153148,44.58868952864367,0.0,1.0999999999999999
-48.54101966249684,35.267115137548394,0.0,1.2
-54.81272745855606,24.404198584548002,0.0,1.3
-58.68885604402834,12.47470144906556,0.0,1.4000000000000001
-60.0,3.399323338588788e-14,0.0,1.5000000000000002
-58.68885604402834,-12.474701449065543,0.0,1.6000000000000003
-54.812727458556054,-24.404198584548013,0.0,1.7000000000000004
-48.54101966249685,-35.26711513754838,0.0,1.8000000000000005
-40.147836381531505,-44.58868952864364,0.0,1.9000000000000006
-30.00000000000003,-51.961524227066306,0.0,2.0000000000000004
-18.541019662496854,-57.06339097770921,0.0,2.1000000000000005
-6.271707796059254,-59.6713137220964,0.0,2.2000000000000006
6.271707796059179,-59.67131372209641,0.0,2.3000000000000007
18.541019662496833,-57.06339097770922,0.0,2.400000000000001
30.000000000000007,-51.96152422706631,0.0,2.500000000000001
40.147836381531505,-44.58868952864364,0.0,2.600000000000001
48.54101966249684,-35.2671151375484,0.0,2.700000000000001
54.81272745855606,-24.40419858454801,0.0,2.800000000000001
58.68885604402834,-12.474701449065538,0.0,2.9000000000000012
60.0,-6.798646677177576e-14,0.0,3.0000000000000013
44.54320409555107,0.0,0.0,3.1000000000000014
44.215418106558154,3.11867536226639,0.0,3.2000000000000015
43.24638596019008,6.101049646137002,0.0,3.3000000000000016
41.67845901117528,8.816778784387097,0.0,3.4000000000000017
39.580163190933945,11.147172382160912,0.0,3.5000000000000018
37.04320409555107,12.990381056766578,0.0,3.600000000000002
34.17845901117528,14.265847744427303,0.0,3.700000000000002
31.11113104456587,14.9178284305241,0.0,3.800000000000002
27.975277146536268,14.917828430524102,0.0,3.900000000000002
24.90794917992686,14.265847744427305,0.0,4.000000000000002
22.043204095551072,12.99038105676658,0.0,4.100000000000001
19.5062450001682,11.147172382160917,0.0,4.200000000000001
17.40794917992686,8.816778784387099,0.0,4.300000000000001
15.840022230912053,6.1010496461370005,0.0,4.4
14.870990084543983,3.11867536226639,0.0,4.5
14.543204095551069,8.49830834647197e-15,0.0,4.6
14.870990084543983,-3.118675362266386,0.0,4.699999999999999
15.840022230912055,-6.101049646137003,0.0,4.799999999999999
17.407949179926856,-8.816778784387095,0.0,4.899999999999999
19.506245000168192,-11.14717238216091,0.0,4.999999999999998
22.04320409555106,-12.990381056766577,0.0,5.099999999999998
24.907949179926856,-14.265847744427303,0.0,5.1999999999999975
27.975277146536254,-14.9178284305241,0.0,5.299999999999997
31.111131044565862,-14.917828430524102,0.0,5.399999999999997
34.17845901117528,-14.265847744427305,0.0,5.4999999999999964
37.04320409555107,-12.990381056766578,0.0,5.599999999999996
39.580163190933945,-11.14717238216091,0.0,5.699999999999996
41.67845901117528,-8.8167787843871,0.0,5.799999999999995
43.24638596019008,-6.101049646137002,0.0,5.899999999999995
44.215418106558154,-3.1186753622663845,0.0,5.999999999999995
44.54320409555107,-1.699661669294394e-14,0.0,6.099999999999994
